ID,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Directors,Runtime,Rotten_Tomatoes_Rounded,IMDB_Rounded,AgeRestriction,Genres_Fantasy,Genres_Sci-Fi,Genres_Mystery,Genres_Family,Genres_Adventure,Genres_Crime,Genres_Horror,Genres_Romance,Genres_Documentary,Genres_Action,Genres_Thriller,Genres_Comedy,Genres_Drama,Genres_Others,Continent_Africa,Continent_Antarctica,Continent_Asia,Continent_Europe,Continent_North America,Continent_Oceania,Continent_South America,Continent_NA,Language_NA,Language_Hindi,Language_French,Language_Spanish,Language_English,Language_Others,Era
6431,The End of Poverty?,2008,NA,7.4,52%,0,0,1,0,0,Philippe Diaz,106.0,Bad,Good,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,Modern
6432,"What Did You Do in the War, Daddy?",1966,NA,6.8,45%,0,0,1,0,0,Blake Edwards,116.0,Bad,Good,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,Vintage
6433,Fragile,2005,13+,6.1,NA,0,0,1,0,0,Jaume Balagueró,101.0,NA,Average,Teen,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Modern
6434,The Mighty Celt,2005,NA,6.8,67%,0,0,1,0,0,Pearse Elliott,82.0,Average,Good,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Modern
6435,Rescue in the Philippines: Refuge from the Holocaust,2013,NA,7.0,100%,0,0,1,0,0,"Russell Hodge,Cynthia Scott-Johnson",57.0,Really_Good,Good,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
6436,Summer,2008,NA,6.8,78%,0,0,1,0,0,Kirill Serebrennikov,126.0,Good,Good,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,Modern
6437,Clan of the White Lotus,1980,13+,7.3,NA,0,0,1,0,0,Lieh Lo,95.0,NA,Good,Teen,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Golden
6438,The Deadly Companions,1961,NA,6.1,83%,0,0,1,0,0,Sam Peckinpah,93.0,Good,Average,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Vintage
6439,Stick Man,2015,all,7.1,NA,0,0,1,0,0,"Jeroen Jaspaert,Daniel Snaddon",27.0,NA,Good,Non-Adult,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Latest
6440,The Magic Flute,2006,7+,6.6,70%,0,0,1,0,0,Ingmar Bergman,135.0,,Good,Non-Adult,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Modern
6441,George Carlin: George's Best Stuff,1996,NA,8.4,NA,0,0,1,0,0,Rocco Urbisci,87.0,NA,Really_Good,NA,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Modern
6442,Load Wedding,2018,NA,7.5,NA,0,0,1,0,0,Nabeel Qureshi,135.0,NA,Good,NA,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Latest
6443,uwantme2killhim?,2013,NA,6.3,67%,0,0,1,0,0,Andrew Douglas,92.0,Average,Average,NA,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Latest
6444,Madman,1981,18+,5.3,40%,0,0,1,0,0,Joe Giannone,88.0,,Average,Adult,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Golden
6445,A Guy Thing,2003,13+,5.6,24%,0,0,1,0,0,Chris Koch,101.0,Really_Bad,Average,Teen,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Modern
6446,Terror Train,1980,18+,5.9,36%,0,0,1,0,0,Roger Spottiswoode,97.0,Really_Bad,Average,Adult,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Golden
6447,Combat Shock,1986,18+,6.4,40%,0,0,1,0,0,Buddy Giovinazzo,91.0,,Average,Adult,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Golden
6448,Down to Earth,2001,13+,5.5,20%,0,0,1,0,0,"Chris Weitz,Paul Weitz",87.0,Really_Bad,Average,Teen,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,Modern
6449,The Heavenly Kid,1985,13+,6.4,22%,0,0,1,0,0,Cary Medoway,90.0,Really_Bad,Average,Teen,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Golden
6450,The Fitzgerald Family Christmas,2012,13+,6.2,64%,0,0,1,0,0,Edward Burns,99.0,Average,Average,Teen,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
6451,The Lullaby,2017,NA,4.4,67%,0,0,1,0,0,Darrell Roodt,86.0,Average,Bad,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Latest
