ID,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Directors,Runtime,Rotten_Tomatoes_Rounded,IMDB_Rounded,AgeRestriction,Genres_Fantasy,Genres_Sci-Fi,Genres_Mystery,Genres_Family,Genres_Adventure,Genres_Crime,Genres_Horror,Genres_Romance,Genres_Documentary,Genres_Action,Genres_Thriller,Genres_Comedy,Genres_Drama,Genres_Others,Continent_Africa,Continent_Antarctica,Continent_Asia,Continent_Europe,Continent_North America,Continent_Oceania,Continent_South America,Continent_NA,Language_NA,Language_Hindi,Language_French,Language_Spanish,Language_English,Language_Others,Era
1135,Billu,2009,7+,6.2,60%,1,0,0,0,0,Priyadarshan,137.0,Average,Average,Non-Adult,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,Modern
1136,Standoff,2016,18+,6.1,56%,1,0,0,0,0,Adam Alleca,80.0,Average,Average,Adult,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
1137,Life 2.0,2010,NA,6.2,89%,1,0,0,0,0,Jason Spingarn-Koff,100.0,Really_Good,Average,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Modern
1138,The Awakening of Motti Wolkenbruch,2018,NA,6.6,63%,1,0,0,0,0,Michael Steiner,94.0,Average,Good,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Latest
1139,Ricky Gervais: Humanity,2018,NA,7.9,NA,1,0,0,0,0,John L. Spencer,79.0,NA,Good,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Latest
1140,Avicii: True Stories,2017,NA,7.6,NA,1,0,0,0,0,Levan Tsikurishvili,97.0,NA,Good,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,Latest
1141,Unacknowledged,2017,NA,7.1,NA,1,0,0,0,0,Michael Mazzola,100.0,NA,Good,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
1142,Shot! The Psycho-Spiritual Mantra of Rock,2016,NA,6.7,94%,1,0,0,0,0,Barney Clay,98.0,Really_Good,Good,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Latest
1143,The Incredible Jessica James,2017,NA,6.5,86%,1,0,0,0,0,Jim Strouse,85.0,Really_Good,Good,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
1144,The Do-Over,2016,18+,5.7,9%,1,0,1,0,0,Steven Brill,108.0,Really_Bad,Average,Adult,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
1145,The Vatican Tapes,2015,18+,4.9,20%,1,0,0,0,0,Mark Neveldine,91.0,Really_Bad,Bad,Adult,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,Latest
1146,Aziz Ansari: Buried Alive,2013,NA,7.3,NA,1,0,0,0,0,"Will Lovelace,Dylan Southern",80.0,NA,Good,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
1147,Loving Annabelle,2006,NA,6.3,NA,1,0,0,0,0,Katherine Brooks,77.0,NA,Average,NA,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Modern
1148,Who Would You Take to a Deserted Island?,2019,NA,5.3,83%,1,0,0,0,0,Jota Linares,93.0,Good,Average,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,Latest
1149,The Invisible Guardian,2017,NA,6.3,20%,1,0,0,0,0,Fernando González Molina,129.0,Really_Bad,Average,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,Latest
1150,St. Agatha,2019,18+,5.2,64%,1,0,0,0,0,Darren Lynn Bousman,103.0,Average,Average,Adult,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
1151,Isi & Ossi,2020,18+,6.4,NA,1,0,0,0,0,Oliver Kienle,113.0,NA,Average,Adult,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Latest
1152,Close,2019,18+,5.7,37%,1,0,0,0,0,Vicky Jewson,94.0,Really_Bad,Average,Adult,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,Latest
1153,American Hangman,2019,NA,5.9,44%,1,0,0,0,0,Wilson Coneybeare,99.0,Bad,Average,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
1154,Aziz Ansari: Right Now,2019,NA,7.8,88%,1,0,0,0,0,Spike Jonze,65.0,Really_Good,Good,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
1155,Riphagen The Untouchable,2016,NA,7.2,NA,1,0,0,0,0,NA,4.0,NA,Good,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
1156,Punjab 1984,2014,NA,8.5,NA,1,0,0,0,0,Anurag Singh,159.0,NA,Really_Good,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,Latest
1157,5 Flights Up,2014,13+,6.2,46%,1,0,0,0,0,Richard Loncraine,88.0,Bad,Average,Teen,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
1158,iBoy,2017,NA,6.0,60%,1,0,0,0,0,Adam Randall,90.0,Average,Average,NA,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Latest
1159,Jim Jefferies: Bare,2014,18+,8.1,NA,1,0,0,0,0,Shannon Hartman,77.0,NA,Really_Good,Adult,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
1160,Goon: Last of the Enforcers,2017,18+,5.8,43%,1,0,0,0,0,Jay Baruchel,101.0,Bad,Average,Adult,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
1161,Life After Beth,2014,18+,5.6,44%,1,0,0,0,0,Jeff Baena,89.0,Bad,Average,Adult,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
1162,Take Me,2017,18+,6.1,67%,1,0,0,0,0,Pat Healy,83.0,Average,Average,Adult,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
1163,The Five Venoms,1978,18+,7.1,NA,1,0,1,0,0,Cheh Chang,97.0,NA,Good,Adult,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Golden
1164,And Breathe Normally,2018,16+,6.8,92%,1,0,0,0,0,Isold Uggadottir,95.0,Really_Good,Good,Teen,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,Latest
1165,The Tribes of Palos Verdes,2017,18+,5.8,64%,1,0,0,0,0,"Brendan Malloy,Emmett Malloy",104.0,Average,Average,Adult,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
1166,Pete Davidson: Alive from New York,2020,18+,5.9,40%,1,0,0,0,0,Jason Orley,49.0,,Average,Adult,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
1167,I Am Michael,2015,NA,5.6,64%,1,0,0,0,0,Justin Kelly,98.0,Average,Average,NA,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
1168,Crazy Beautiful You,2015,NA,7.2,NA,1,0,0,0,0,Mae Czarina Cruz,114.0,NA,Good,NA,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Latest
1169,House at the End of the Street,2012,13+,5.6,14%,1,0,0,0,0,Mark Tonderai,101.0,Really_Bad,Average,Teen,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
1170,Bawarchi,1972,NA,8.0,NA,1,0,1,0,0,Hrishikesh Mukherjee,130.0,NA,Really_Good,NA,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Golden
1171,The New Romantic,2018,NA,5.7,62%,1,0,0,0,0,Carly Stone,82.0,Average,Average,NA,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
1172,A Fall From Grace,2020,18+,5.8,NA,1,0,0,0,0,Tyler Perry,115.0,NA,Average,Adult,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
1173,All the Boys Love Mandy Lane,2008,18+,5.5,43%,1,0,0,0,0,Jonathan Levine,90.0,Bad,Average,Adult,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Modern
1174,Ghost in the Shell Arise - Border 1: Ghost Pain,2013,18+,7.2,NA,1,0,0,0,0,"Masahiko Murata,Kazuchika Kise",58.0,NA,Good,Adult,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Latest
1175,Mersal,2017,NA,7.7,NA,1,0,0,0,0,Atlee Kumar,172.0,NA,Good,NA,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Latest
1176,Ali Wong: Baby Cobra,2016,NA,7.5,NA,1,0,0,0,0,Jay Karas,60.0,NA,Good,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
1177,Mucize,2015,18+,7.6,NA,1,0,0,0,0,Stephen Chbosky,113.0,NA,Good,Adult,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,Latest
1178,Mute,2018,18+,5.4,20%,1,0,1,0,0,Duncan Jones,126.0,Really_Bad,Average,Adult,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,Latest
1179,Seal Team Six: The Raid on Osama Bin Laden,2012,NA,5.7,50%,1,0,0,0,0,"John Stockwell,Paulette Victor-Lifton",90.0,Bad,Average,NA,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,Latest
1180,Radio Rebel,2012,all,6.0,NA,1,0,0,0,0,Peter Howitt,85.0,NA,Average,Non-Adult,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
1181,The Warriors Gate,2016,13+,5.4,50%,1,0,0,0,0,Matthias Hoene,108.0,Bad,Average,Teen,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,Latest
1182,Shrek the Musical,2013,13+,7.1,NA,1,0,0,0,0,Michael John Warren,130.0,NA,Good,Teen,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
1183,Blind Detective,2013,NA,6.5,55%,1,0,0,0,0,Johnnie To,130.0,,Good,NA,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,Latest
1184,Trailer Park Boys: Countdown to Liquor Day,2009,18+,7.4,NA,1,0,0,0,0,Mike Clattenburg,102.0,NA,Good,Adult,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Modern
1185,Dream House,2011,13+,6.0,6%,1,0,0,0,0,Jim Sheridan,84.0,Really_Bad,Average,Teen,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
1186,Luka Chuppi,2019,7+,6.3,33%,1,0,0,0,0,Laxman Utekar,126.0,Really_Bad,Average,Non-Adult,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Latest
1187,Duck Butter,2018,NA,5.3,57%,1,0,0,0,0,Miguel Arteta,93.0,Average,Average,NA,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,Latest
1188,Arjun: The Warrior Prince,2012,all,6.8,57%,1,0,0,0,0,Arnab Chaudhuri,96.0,Average,Good,Non-Adult,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Latest
1189,A Plastic Ocean,2016,NA,8.0,NA,1,0,0,0,0,Craig Leeson,102.0,NA,Really_Good,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,Latest
1190,Becoming,2020,7+,6.6,NA,1,0,0,0,0,Nadia Hallgren,89.0,NA,Good,Non-Adult,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
1191,Rising High,2020,NA,5.7,NA,1,0,0,0,0,Cüneyt Kaya,94.0,NA,Average,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,Latest
1192,Skiptrace,2016,13+,5.7,38%,1,0,0,0,0,Renny Harlin,107.0,Really_Bad,Average,Teen,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,Latest
1193,Uppity: The Willy T. Ribbs Story,2020,NA,8.0,NA,1,0,0,0,0,"Nate Adams,Adam Carolla",109.0,NA,Really_Good,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
1194,Miss Virginia,2019,16+,6.6,60%,1,0,0,0,0,R.J. Daniel Hanna,102.0,Average,Good,Teen,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
1195,Wanda Sykes: Not Normal,2019,NA,7.1,100%,1,0,0,0,0,Linda Mendoza,60.0,Really_Good,Good,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Latest
1196,Inuyasha the Movie 2: The Castle Beyond the Looking Glass,2002,7+,7.5,NA,1,0,0,0,0,Toshiya Shinohara,99.0,NA,Good,Non-Adult,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,Modern
1197,Otherhood,2019,18+,6.0,29%,1,0,0,0,0,Cindy Chupack,100.0,Really_Bad,Average,Adult,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Latest
1198,"Fireworks, Should We See It from the Side or the Bottom?",2017,13+,5.5,43%,1,0,0,0,0,"Akiyuki Shinbo,Nobuyuki Takeuchi",90.0,Bad,Average,Teen,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Latest
1199,Leslie Jones: Time Machine,2020,NA,5.1,100%,1,0,0,0,0,"David Benioff,D.B. Weiss",66.0,Really_Good,Average,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Latest
1200,Rangoon,2017,NA,5.7,55%,1,0,0,0,0,Vishal Bhardwaj,170.0,,Average,NA,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Latest
1201,Bleach the Movie: Fade to Black,2008,16+,7.3,NA,1,0,0,0,0,NA,-1.0,NA,Good,Teen,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Modern
1202,American Son,2019,NA,5.6,47%,1,0,0,0,0,Kenny Leon,90.0,Bad,Average,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
1203,The Motive,2017,18+,6.5,63%,1,0,0,0,0,Manuel Martín Cuenca,112.0,Average,Good,Adult,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,Latest
1204,High Flying Bird,2019,NA,6.2,96%,1,0,0,0,0,Steven Soderbergh,90.0,Really_Good,Average,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
1205,Come Sunday,2018,16+,5.9,63%,1,0,0,0,0,Joshua Marston,106.0,Average,Average,Teen,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
1206,Socha Na Tha,2005,NA,7.5,NA,1,0,1,0,0,Imtiaz Ali,137.0,NA,Good,NA,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,Modern
1207,Country Strong,2010,13+,6.3,22%,1,0,0,0,0,Shana Feste,117.0,Really_Bad,Average,Teen,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Modern
1208,The Wrong Missy,2020,NA,5.8,NA,1,0,0,0,0,Tyler Spindel,90.0,NA,Average,NA,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
1209,Ri¢hie Ri¢h,1994,7+,5.4,24%,1,0,0,0,0,Donald Petrie,95.0,Really_Bad,Average,Non-Adult,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,Modern
1210,Apostle,2018,NA,6.3,71%,1,0,0,0,0,Gareth Evans,130.0,Good,Average,NA,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Latest
1211,Message from the King,2017,18+,6.4,43%,1,0,0,0,0,Fabrice du Welz,102.0,Bad,Average,Adult,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,Latest
1212,"Crouching Tiger, Hidden Dragon: Sword of Destiny",2016,13+,6.1,20%,1,0,0,0,0,Woo-Ping Yuen,96.0,Really_Bad,Average,Teen,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,Latest
1213,The Decline,2020,NA,5.9,NA,1,0,0,0,0,Patrice Laliberté,83.0,NA,Average,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Latest
1214,Ronny Chieng: Asian Comedian Destroys America!,2019,18+,7.4,NA,1,0,0,0,0,Sebastian DiNatale,63.0,NA,Good,Adult,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
1215,Bill Hicks: Relentless,1992,NA,8.7,NA,1,0,0,0,0,Chris Bould,61.0,NA,Really_Good,NA,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Modern
1216,Revenger,2018,18+,5.7,40%,1,0,0,0,0,Walter Hill,95.0,,Average,Adult,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Latest
1217,Bhoot,2003,NA,6.5,67%,1,0,1,0,0,Ram Gopal Varma,113.0,Average,Good,NA,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Modern
1218,American Circumcision,2017,16+,7.3,60%,1,0,0,0,0,Brendon Marotta,101.0,Average,Good,Teen,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
1219,Raajneeti,2010,7+,7.1,13%,1,0,0,0,0,Prakash Jha,163.0,Really_Bad,Good,Non-Adult,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,Modern
1220,Shepherds and Butchers,2017,18+,6.8,56%,1,0,0,0,0,Oliver Schmitz,106.0,Average,Good,Adult,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,Latest
1221,Altered Carbon: Resleeved,2020,NA,6.5,NA,1,0,0,0,0,"Takeru Nakajima,Yoshiyuki Okada",74.0,NA,Good,NA,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,Latest
1222,Carrie,2002,18+,5.5,20%,1,0,0,0,0,Brian De Palma,98.0,Really_Bad,Average,Adult,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Modern
1223,Chalte Chalte,2003,13+,6.6,NA,1,0,0,0,0,Aziz Mirza,167.0,NA,Good,Teen,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Modern
1224,For Greater Glory: The True Story of Cristiada,2012,18+,6.6,21%,1,0,0,0,0,Dean Wright,145.0,Really_Bad,Good,Adult,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,Latest
1225,Happy New Year,2014,all,5.0,47%,1,0,0,0,0,Garry Marshall,118.0,Bad,Bad,Non-Adult,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
1226,Between Worlds,2018,18+,4.4,29%,1,0,0,0,0,Maria Pulera,90.0,Really_Bad,Bad,Adult,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Latest
1227,Joseph: King of Dreams,2000,all,6.5,NA,1,0,0,0,0,"Rob LaDuca,Robert C. Ramirez",75.0,NA,Good,Non-Adult,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Modern
1228,Savage Dog,2017,16+,4.9,75%,1,0,0,0,0,Jesse V. Johnson,94.0,Good,Bad,Teen,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
1229,Mike Birbiglia: The New One,2019,NA,7.6,NA,1,0,0,0,0,Seth Barrish,85.0,NA,Good,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
1230,Close Enemies,2018,18+,6.3,58%,1,0,0,0,0,David Oelhoffen,111.0,Average,Average,Adult,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,Latest
1231,Tony Robbins: I Am Not Your Guru,2016,NA,6.7,45%,1,0,0,0,0,Joe Berlinger,115.0,Bad,Good,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
1232,Kannum Kannum Kollaiyadithaal,2020,NA,7.7,NA,1,0,0,0,0,Desingh Periyasamy,160.0,NA,Good,NA,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Latest
1233,Umrika,2015,NA,6.6,75%,1,0,0,0,0,Prashant Nair,98.0,Good,Good,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Latest
1234,"Yours, Mine & Ours",2005,7+,5.5,6%,1,0,1,0,0,Raja Gosnell,88.0,Really_Bad,Average,Non-Adult,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Modern
1235,Iliza Shlesinger: War Paint,2013,NA,6.7,NA,1,0,1,0,0,Jay Chapman,75.0,NA,Good,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
1236,Jeff Dunham: Jeff Dunham's Very Special Christmas Special,2008,13+,7.5,NA,1,0,1,0,0,Michael Simon,85.0,NA,Good,Teen,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Modern
1237,The Hurricane Heist,2018,13+,5.1,46%,1,0,0,0,0,Rob Cohen,103.0,Bad,Average,Teen,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,Latest
1238,Wine Country,2019,18+,5.4,68%,1,0,0,0,0,Amy Poehler,103.0,Average,Average,Adult,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
1239,Bana Masal Anlatma,2015,13+,7.5,NA,1,0,0,0,0,Burak Aksak,103.0,NA,Good,Teen,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,Latest
1240,Submission,2018,18+,5.6,49%,1,0,0,0,0,NA,24.0,Bad,Average,Adult,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
1241,Barely Lethal,2015,13+,5.4,26%,1,0,0,0,0,Kyle Newman,96.0,Really_Bad,Average,Teen,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
1242,Rodney King,2017,NA,5.5,100%,1,0,0,0,0,Spike Lee,52.0,Really_Good,Average,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
1243,Jerry Seinfeld: I'm Telling You for the Last Time,1998,all,7.9,NA,1,0,0,0,0,Marty Callner,75.0,NA,Good,Non-Adult,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Modern
1244,Buffalo Boys,2018,18+,5.8,79%,1,0,0,0,0,Mike Wiluan,102.0,Good,Average,Adult,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,Latest
1245,Barbie: Princess Charm School,2011,all,6.4,NA,1,0,0,0,0,Ezekiel Norton,81.0,NA,Average,Non-Adult,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
1246,Jim Gaffigan: King Baby,2009,7+,7.8,NA,1,0,0,0,0,Troy Miller,60.0,NA,Good,Non-Adult,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Modern
